epoch,loss,val_loss
0,8.1888397617355,7.251792994412509
1,5.427331628650194,5.7802037812829985
2,5.139424552439897,5.373805841585485
3,4.9980838503412235,5.053974280318593
4,4.871765475489537,4.792701895644025
5,4.776225966034175,4.60732832730301
6,4.707817527132228,4.500027334787013
7,4.635430259167308,4.466476825776139
8,4.600914602011023,4.379297264998521
9,4.550548493813648,4.3230050474647586
10,4.5005246417473925,4.305565319991693
11,4.467962653513806,4.23608185295167
12,4.416614592422342,4.224661397546288
13,4.3880132630397455,4.19287280726239
14,4.371511980314755,4.199750782416118
15,4.350392085688775,4.163625577600991
16,4.316263102410545,4.130694787095233
17,4.300197693536726,4.129304438490209
18,4.273514036639756,4.143788374148733
19,4.250722893325376,4.076312718352651
20,4.223341349048048,4.125122822397124
21,4.214177514316517,4.083344565755953
22,4.203524530586876,4.037397806818892
23,4.184886401210779,4.0788840038020435
24,4.170596176745932,4.01256854127093
25,4.143470090737738,3.9673111012311484
26,4.144035684827348,4.018459392950787
27,4.120759120397911,4.0004508685290325
28,4.107631232212407,3.984121806447099
29,4.08472976635358,4.014199603863848
30,4.095624696242044,3.9464050002214384
31,4.071965420906532,3.931089196554044
32,4.068160884809419,3.9467523171649717
33,4.044994516939811,3.9118928475108574
