epoch,class_loss,loc_loss,loss,val_class_loss,val_loc_loss,val_loss
0,5.464812929758903,1.5070126038179257,6.971825525747602,3.8111740350723267,1.4899906105809397,5.301164658038648
1,3.2145111513958664,1.2032537670967538,4.417764929337121,3.2533211913535265,1.3705408639054957,4.623862044791865
2,2.947418201846509,1.132382466599042,4.079800667352333,3.405849498655738,1.3361821740623412,4.7420316897756685
3,2.8144592429699844,1.081567461186545,3.8960267000765496,3.159702969372757,1.3348010410138262,4.494504009805074
4,2.732113165213655,1.0522144293635851,3.784327592282601,2.8872149975319217,1.1903582206586512,4.077573250173553
5,2.6357704147897043,1.024843087535882,3.6606134953148115,2.662989239964059,1.0863674115359299,3.7493566656500343
6,2.593820173833665,1.0074045361879287,3.6012247261530916,2.8100245223781926,1.1341793895736942,3.9442039171854657
7,2.5433161466595524,0.9811362402801036,3.5244523833503187,2.6766404752808857,1.0488191172359436,3.7254595981380803
8,2.4976949895342377,0.9695982087124868,3.467293195314064,2.6146896831388395,1.1048613619998218,3.719551024785856
9,2.4558705013794517,0.9539389539902945,3.409809454282125,2.689511685255097,1.0912023889340037,3.7807140540301316
10,2.4243055501752804,0.9417867841798935,3.3660923392709248,2.6803502989978325,1.0793357370345573,3.759686041653641
11,2.4019631775108303,0.9290916444438164,3.331054824208243,2.851984757136523,1.066043864420759,3.918028610508616
12,2.382626499428249,0.920179296192802,3.302805793915929,2.3430930110497203,0.981775658789689,3.3248686771082685
13,2.3583228632131465,0.9132989340190409,3.2716217874622493,2.37817028402313,1.0000356473573824,3.378205925856179
14,2.331083012559248,0.904577282684869,3.2356602873142295,2.4368315285783475,0.9969793624025051,3.4338108903993434
15,2.325117976296116,0.8963156439776712,3.221433631355214,2.3714291750900145,0.9710765391830506,3.3425057232864503
16,2.299542969769342,0.8876047240447177,3.1871476938504384,2.481083664855337,0.9922941393968535,3.4733778096796053
17,2.269832019649201,0.8817531808441234,3.151585201254473,2.3578976952932713,0.9741588437460302,3.3320565227570573
18,2.2676167601449575,0.8733366358690605,3.1409533910049894,2.314414324799204,0.9473788227492231,3.2617931470638366
